host	logname	time	method	url	response	bytes	referer	useragent
burger.letters.com	-	804571212	GET	/images/NASA-logosmall.gif	304	0		
129.188.154.200	-	804571445	GET	/images/WORLD-logosmall.gif	200	669		
smyth-pc.moorecap.com	-	804571453	GET	/history/apollo/images/footprint-small.gif	200	18149		
burger.letters.com	-	804571573	GET	/images/NASA-logosmall.gif	304	0		
slip132.indirect.com	-	804571601	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.gif	200	31631		
brandt.xensei.com	-	804571614	GET	/shuttle/missions/sts-71/sts-71-day-04-highlights.html	200	5544		
www-proxy.crl.research.digital.com	-	804571655	GET	/images/NASA-logosmall.gif	200	786		
ppp4.sunrem.com	-	804571657	GET	/shuttle/countdown/	200	3985		
www-a1.proxy.aol.com	-	804571739	GET	/shuttle/countdown/tour.html	200	4347		
166.79.67.111	-	804571757	GET	/shuttle/countdown/count.gif	200	40310		
205.212.115.106	-	804571801	GET	/shuttle/missions/sts-71/images/KSC-95EC-0876.gif	200	51398		
129.188.154.200	-	804571829	GET	/shuttle/missions/sts-71/images/	200	16890		
200.13.2.37	-	804571943	GET	/images/KSC-logosmall.gif	200	1204		
ppp4.sunrem.com	-	804572009	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.jpg	200	46888		
156.151.176.45	-	804572203	GET	/images/USA-logosmall.gif	304	0		
ppp5.earthlight.co.nz	-	804572315	GET	/shuttle/missions/sts-70/sts-70-info.html	200	1429		
ppp160.iadfw.net	-	804572367	GET	/shuttle/missions/sts-71/sts-71-press-kit.txt	200	78588		
leet.cts.com	-	804572401	GET	/shuttle/missions/sts-71/images/index71.gif	200	235862		
slip-5.io.com	-	804572438	GET	/history/apollo/as-201/	200	1699		
ix-orl2-16.ix.netcom.com	-	804572466	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
annex12-36.dial.umd.edu	-	804572470	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
indy2.indy.net	-	804572647	GET	/images/NASA-logosmall.gif	200	786		
thimble-d229.sierra.net	-	804572941	GET	/shuttle/countdown/	200	3985		
pm1_13.promedia.net	-	804573142	GET	/images/NASA-logosmall.gif	200	786		
larryr.cts.com	-	804573216	GET	/shuttle/countdown/countdown.html	200	3985		
ep214.itsnet.com	-	804573251	GET	/shuttle/technology/images/aft_fuselage_2-small.gif	200	45632		
dal31.pic.net	-	804573344	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
dal08.onramp.net	-	804573362	GET	/images/kscmap-tiny.gif	200	2537		
hoflink.com	-	804573409	GET	/shuttle/missions/100th.html	200	32303		
net79.metronet.com	-	804573527	GET	/icons/menu.xbm	304	0		
ix-hay-ca1-24.ix.netcom.com	-	804573548	GET	/	200	7074		
slip-21-15.ots.utexas.edu	-	804573597	GET	/shuttle/countdown/lps/fr.html	200	1879		
204.212.153.234	-	804573666	GET	/software/winvn/userguide/1_2.htm	200	2000		
cad118.cadvision.com	-	804573669	GET	/ksc.html	200	7074		
pc86.slt.tased.edu.au	-	804573710	GET	/shuttle/missions/sts-71/movies/movies.html	200	3092		
palona1.cns.hp.com	-	804573720	GET	/shuttle/missions/sts-70/woodpecker.html	200	2823		
bbuig150.unisys.com	-	804573733	GET	/shuttle/countdown/	200	3985		
www-a1.proxy.aol.com	-	804573802	GET	/elv/elvpage.htm	200	7890		
131.128.2.155	-	804573894	GET	/cgi-bin/imagemap/countdown?105,146	302	96		
net-1-141.eden.com	-	804574086	GET	/shuttle/countdown/count.html	200	73231		
ocn13.miracosta.cc.ca.us	-	804574145	GET	/shuttle/missions/sts-71/images/KSC-95EC-0911.jpg	200	45966		
www-d4.proxy.aol.com	-	804574659	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
piweba2y.prodigy.com	-	804574841	GET	/shuttle/countdown/liftoff.html	200	4538		
s128.phxslip4.indirect.com	-	804574889	GET	/images/KSC-logosmall.gif	200	1204		
gateway.cary.ibm.com	-	804575061	GET	/images/	200	17688		
prg1.prgone.com	-	804575230	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
selene.sol.cs.ritsumei.ac.jp	-	804575380	GET	/shuttle/missions/sts-71/images/KSC-95EC-0917.jpg	200	52491		
moose.erie.net	-	804575418	GET	/shuttle/missions/sts-77/sts-77-patch-small.gif	200	4179		
204.244.4.10	-	804575424	GET	/cgi-bin/imagemap/countdown?94,146	302	96		
ts02-ind-20.iquest.net	-	804575504	GET	/history/apollo/images/footprint-logo.gif	200	4209		
pm-1-25.connectnet.com	-	804575522	GET	/images/USA-logosmall.gif	200	234		
www-d1.proxy.aol.com	-	804575533	GET	/shuttle/missions/sts-71/images/KSC-95EC-0911.gif	200	31242		
prg1.prgone.com	-	804575548	GET	/shuttle/countdown/liftoff.html	200	4538		
selene.sol.cs.ritsumei.ac.jp	-	804575775	GET	/cgi-bin/imagemap/countdown?268,277	302	85		
ip36.herndon2.va.interramp.com	-	804575865	GET	/images/NASA-logosmall.gif	200	786		
slcmodem1-p1-6.intele.net	-	804576015	GET	/cgi-bin/imagemap/countdown?99,119	302	111		
www-d1.proxy.aol.com	-	804576110	GET	/images/rss.gif	200	283389		
indy1.indy.net	-	804576112	GET	/shuttle/countdown/count.gif	200	40310		
axia.ic.nanzan-u.ac.jp	-	804576150	GET	/images/NASA-logosmall.gif	200	786		
yhm0084.bekkoame.or.jp	-	804576171	GET	/images/MOSAIC-logosmall.gif	200	363		
winnie.freenet.mb.ca	-	804576175	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
ip215.cap.primenet.com	-	804576325	GET	/images/construct.gif	200	1414		
ppp-hck-2-7.ios.com	-	804576450	GET	/shuttle/missions/sts-71/movies/sts-71-launch.mpg	200	49152		
ts6.northcoast.com	-	804576542	GET	/history/apollo/apollo.html	200	3258		
lanz.islandnet.com	-	804576747	GET	/shuttle/missions/missions.html	200	8677		
iglou.com	-	804576861	GET	/msfc/astro_home3.gif	200	106535		
gpu.westonia.com	-	804576939	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	304	0		
vagrant.vf.mmc.com	-	804576947	GET	/history/apollo/images/footprint-logo.gif	200	4209		
camus.mty.itesm.mx	-	804577020	GET	/images/KSC-logosmall.gif	200	1204		
202.242.14.60	-	804577235	GET	/images/ksclogo-medium.gif	200	5866		
www-d4.proxy.aol.com	-	804577261	GET	/shuttle/missions/sts-71/images/KSC-95EC-0912.txt	200	1400		
eric.njcc.com	-	804577394	GET	/history/apollo/images/apollo-logo.gif	200	3047		
ix-ir5-25.ix.netcom.com	-	804577565	GET	/history/apollo/apollo-11/apollo-11-patch-small.gif	200	11175		
www-b3.proxy.aol.com	-	804577832	GET	/images	302	0		
dyn-354.direct.ca	-	804578001	GET	/htbin/cdt_main.pl	200	3214		
mfisher.remote.ualberta.ca	-	804578113	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859		
roseanne11.slip.yorku.ca	-	804578450	GET	/images/KSC-logosmall.gif	200	1204		
www-b1.proxy.aol.com	-	804578462	GET	/shuttle/countdown/video/livevideo.gif	200	65860		
www-d1.proxy.aol.com	-	804578577	GET	/shuttle/missions/sts-71/images/KSC-95EC-0544.jpg	200	70128		
ts6.northcoast.com	-	804578734	GET	/history/apollo/apollo-13/docs/	200	377		
ix-wc7-20.ix.netcom.com	-	804578751	GET	/history/apollo/apollo-13/sounds/a13_005.wav	200	94578		
ip-pdx8-50.teleport.com	-	804578906	GET	/images/KSC-logosmall.gif	200	1204		
bradfute.vip.best.com	-	804578926	GET	/htbin/cdt_main.pl	200	3214		
vagrant.vf.mmc.com	-	804579193	GET	/history/apollo/flight-summary.txt	200	5086		
b1b.ppp.mo.net	-	804579549	GET	/shuttle/technology/images/sts-comm-small.gif	404	0		
ts2-p01.dialup.iway.fr	-	804579864	GET	/history/mercury/mr-3/mr-3.html	200	1124		
dialup51.aloha.com	-	804580018	GET	/images/NASA-logosmall.gif	200	786		
alba.demon.co.uk	-	804580031	GET	/shuttle/countdown/video/livevideo.gif	200	49152		
bass.hooked.net	-	804580081	GET	/shuttle/countdown/	200	3985		
ix-ftl1-17.ix.netcom.com	-	804580117	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
slip137-5.pt.uk.ibm.net	-	804580450	GET	/images/KSC-logosmall.gif	200	1204		
204.181.43.102	-	804580491	GET	/shuttle/countdown/lps/back.gif	200	1289		
badboy.iprolink.ch	-	804580512	GET	/history/apollo/images/apollo-small.gif	200	9630		
piweba2y.prodigy.com	-	804580544	GET	/images/WORLD-logosmall.gif	200	669		
dd13-037.compuserve.com	-	804580652	GET	/shuttle/missions/sts-1/mission-sts-1.html	200	8149		
www-b1.proxy.aol.com	-	804580689	GET	/history/apollo/flight-summary.txt	200	5086		
pool03-30.innet.be	-	804580750	GET	/shuttle/missions/sts-71/sts-71-day-02-highlights.html	200	4722		
www-b1.proxy.aol.com	-	804580753	GET	/history/apollo/apollo-13/apollo-13.html	200	18114		
ip-pdx4-06.teleport.com	-	804580840	GET	/ksc.html	200	7074		
161.142.207.13	-	804580942	GET	/shuttle/missions/missions.html	200	8677		
dd14-037.compuserve.com	-	804581027	GET	/shuttle/countdown/liftoff.html	200	4538		
slip137-5.pt.uk.ibm.net	-	804581119	GET	/shuttle/technology/sts-newsref/stsref-toc.html	200	84907		
carrot.math.keio.ac.jp	-	804581438	GET	/images/ksclogo-medium.gif	200	5866		
corp-uu.infoseek.com	-	804582052	GET	/shuttle/technology/sts-newsref/sts-oms.html	200	116367		
ttyb5.shasta.com	-	804582277	GET	/	200	7074		
pc092040.oulu.fi	-	804582675	GET	/shuttle/missions/missions.html	200	8677		
ppp118.cs.mci.com	-	804582990	GET	/images/ksclogo-medium.gif	200	5866		
ppp199.aix.or.jp	-	804583070	GET	/shuttle/countdown/lps/back.gif	200	1289		
xslip36.csrv.uidaho.edu	-	804583388	GET	/images/WORLD-logosmall.gif	200	669		
crl3.crl.com	-	804583416	GET	/shuttle/technology/images/srb_mod_compare_6-small.gif	200	28219		
ppp211.st.rim.or.jp	-	804583505	GET	/shuttle/missions/sts-67/sts-67-patch-small.gif	200	17083		
disarray.demon.co.uk	-	804583727	GET	/htbin/wais.pl?IMAX	200	6923		
disarray.demon.co.uk	-	804583871	GET	/shuttle/missions/sts-71/images/images.html	200	7634		
yarrow.wt.com.au	-	804584134	GET	/images/KSC-logosmall.gif	200	1204		
192.36.3.103	-	804584429	GET	/images/launch-logo.gif	304	0		
pool03-39.innet.be	-	804584588	GET	/images/KSC-logosmall.gif	200	1204		
s254n068ppp49.csun.edu	-	804584596	GET	/shuttle/countdown/lps/fr.html	200	1879		
ep.cis.csiro.au	-	804584721	GET	/shuttle/countdown/count.gif	200	40310		
ip044.phx.primenet.com	-	804584909	GET	/images/launch-logo.gif	200	1713		
mailbox6.fv.ccc.cccd.edu	-	804585323	GET	/images/rss.gif	200	283389		
casino.edl.ei.hosei.ac.jp	-	804585986	GET	/images/lcc-small2.gif	200	58026		
rt99-18.rotterdam.nl.net	-	804586026	GET	/shuttle/countdown/count.gif	200	40310		
ad02-010.compuserve.com	-	804586545	GET	/shuttle/missions/sts-66/mission-sts-66.html	200	173983		
chi057.wwa.com	-	804586570	GET	/images/NASA-logosmall.gif	200	786		
dialind.wantree.com.au	-	804586613	GET	/shuttle/countdown/video/livevideo.gif	200	49152		
cs205.nuri.net	-	804586698	GET	/shuttle/technology/sts-newsref/stsref-toc.html	200	84907		
ppp010.st.rim.or.jp	-	804586819	GET	/shuttle/missions/sts-71/images/index71.gif	200	235862		
gea5.lif.icnet.uk	-	804586905	GET	/images/NASA-logosmall.gif	200	786		
ad02-010.compuserve.com	-	804586941	GET	/shuttle/missions/sts-67/images/KSC-95EC-0392.gif	200	87210		
ppp010.st.rim.or.jp	-	804587156	GET	/shuttle/countdown/video/livevideo.gif	200	55357		
blv-pm4-ip2.halcyon.com	-	804587263	GET	/shuttle/technology/images/et-lox_1-small.gif	200	36098		
ppp179.aix.or.jp	-	804587305	GET	/shuttle/missions/sts-71/images/KSC-95EC-0915.gif	200	29634		
cs4p8.ipswichcity.qld.gov.au	-	804587683	GET	/shuttle/missions/sts-71/	200	3373		
alice-thurman.tenet.edu	-	804587830	GET	/software/winvn/wvsmall.gif	200	13372		
berlin.snafu.de	-	804588079	GET	/shuttle/missions/sts-71/movies/sts-71-rollover.mpg	200	569688		
mullian.ee.mu.oz.au	-	804588259	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	12040		
www-d1.proxy.aol.com	-	804588630	GET	/htbin/wais.pl?employment+careers+hire	200	6506		
relay.knoware.nl	-	804589011	GET	/shuttle/missions/sts-71/images/KSC-95EC-0912.gif	200	48305		
ppp4.nildram.co.uk	-	804589111	GET	/software/winvn/winvn.gif	200	25218		
133.67.121.65	-	804589254	GET	/shuttle/technology/images/mission_profile_2-small.gif	200	35540		
falafel.alt.net	-	804589299	GET	/history/apollo/apollo-15/apollo-15-patch-small.gif	200	13583		
dip112.pixi.com	-	804589467	GET	/images/NASA-logosmall.gif	200	786		
cssvh.cs.knct.ac.jp	-	804590784	GET	/cgi-bin/imagemap/fr?155,405	302	87		
pppa011.compuserve.com	-	804590806	GET	/images/ksclogo-medium.gif	200	5866		
133.66.67.9	-	804591203	GET	/images/KSC-logosmall.gif	200	1204		
async_405.italnet.it	-	804591436	GET	/images/WORLD-logosmall.gif	200	669		
poppy.hensa.ac.uk	-	804591856	GET	/images/KSC-logosmall.gif	200	1204		
cyberia10.easynet.co.uk	-	804592299	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
204.242.85.155	-	804592474	GET	/cgi-bin/imagemap/countdown?95,107	302	111		
slip1.vaxxine.com	-	804592597	GET	/shuttle/missions/sts-71/images/KSC-95EC-0443.jpg	200	115599		
dialup00017.cinet.itl.net	-	804592688	GET	/shuttle/missions/missions.html	200	8677		
dialup00017.cinet.itl.net	-	804592690	GET	/images/launchmedium.gif	200	11853		
slgos1p16.ozemail.com.au	-	804592758	GET	/cgi-bin/imagemap/countdown?113,108	302	111		
ip042.phx.primenet.com	-	804592923	GET	/images/KSC-logosmall.gif	200	1204		
greco-gw.dit.upm.es	-	804592934	GET	/images/MOSAIC-logosmall.gif	200	363		
slip168-79.sy.au.ibm.net	-	804593220	GET	/images/ksclogo-medium.gif	200	5866		
129.109.6.54	-	804593322	GET	/images/NASA-logosmall.gif	200	786		
rossi.astro.nwu.edu	-	804593649	HEAD	/shuttle/resources/orbiters/orbiters.html	200	0		
dawn14.cs.berkeley.edu	-	804594017	GET	/shuttle/missions/sts-66/news/sts-66-mcc-13.txt	200	1894		
151.99.247.5	-	804594202	GET	/shuttle/missions/sts-71/images/KSC-95EC-0918.jpg	200	46888		
dd13-010.compuserve.com	-	804594230	GET	/images/NASA-logosmall.gif	200	786		
139.133.213.161	-	804594602	GET	/images/KSC-logosmall.gif	304	0		
204.92.49.10	-	804594687	GET	/images/KSC-logosmall.gif	200	1204		
munsu.ulsan.ac.kr	-	804594697	GET	/images/NASA-logosmall.gif	200	786		
194.166.19.15	-	804594976	GET	/images/USA-logosmall.gif	200	234		
203.15.243.5	-	804595189	GET	/shuttle/countdown/lps/fr.html	200	1879		
203.7.133.176	-	804595436	GET	/shuttle/missions/sts-71/images/KSC-95EC-0912.jpg	200	66202		
j6.ptl4.jaring.my	-	804595848	GET	/icons/menu.xbm	200	527		
disarray.demon.co.uk	-	804597472	GET	/shuttle/countdown/	304	0		
alyssa.prodigy.com	-	804597629	GET	/images/USA-logosmall.gif	200	234		
133.54.246.57	-	804597781	GET	/cgi-bin/imagemap/countdown?325,268	302	98		
www.asahi-np.co.jp	-	804597839	GET	/shuttle/missions/sts-71/images/KSC-95EC-0915.gif	200	29634		
scfu50.ioi.tue.nl	-	804598153	GET	/icons/blank.xbm	200	509		
ares.six.udc.es	-	804598444	GET	/shuttle/resources/orbiters/enterprise.html	200	9732		
nccse.gsfc.nasa.gov	-	804598579	GET	/images/KSC-logosmall.gif	200	1204		
leeberg.polaris.net	-	804598819	GET	/shuttle/missions/sts-71/sts-71-day-04-highlights.html	200	5544		
leeberg.polaris.net	-	804598950	GET	/shuttle/missions/sts-71/sts-71-day-04-highlights.html	200	5544		
129.102.240.18	-	804598953	GET	/cgi-bin/imagemap/countdown?328,279	302	98		
burger.letters.com	-	804599061	GET	/shuttle/countdown/liftoff.html	304	0		
205.138.108.70	-	804599297	GET	/images/NASA-logosmall.gif	200	786		
pcssw10.inflab.uni-linz.ac.at	-	804599535	GET	/images/MOSAIC-logosmall.gif	200	363		
edinburgh8.easynet.co.uk	-	804599550	GET	/shuttle/countdown/	200	3985		
edinburgh8.easynet.co.uk	-	804599552	GET	/images/KSC-logosmall.gif	200	1204		
grail712.nando.net	-	804599615	GET	/images/launchmedium.gif	200	11853		
his.moc.kw	-	804599735	GET	/shuttle/technology/images/srb_mod_compare_1-small.gif	200	36902		
rzuslip2-3.unizh.ch	-	804599806	GET	/images/NASA-logosmall.gif	200	786		
nb2ppp21.acns-slp.fsu.edu	-	804599811	GET	/shuttle/countdown/count.gif	200	40310		
